supplier_id,supplier_name,supplier_location,spend_year,supplier_category,supplier_subcategory,spend_anonymized
S0067,Supplier_0082,,2023,,,6711.22
S0068,Supplier_0083,,2023,,,25046.66
S0069,Supplier_0084,,2022,Medical device,Consumables,10165.0
S0069,Supplier_0084,,2023,Medical Device,,8499.45
S0070,Supplier_0085,,2022,Plastic component,Injection moulding,155.2
S0071,Supplier_0086,,2022,Medical device,Consumables,1743.06
S0071,Supplier_0087,,2023,Medical Device,,3334.97
S0072,Supplier_0088,,2022,Electronics,Components,960.19
S0073,Supplier_0089,,2022,Plastic component,Injection moulding,2170.8
S0074,Supplier_0090,,2022,Metal components,Machined parts,650.0
S0074,Supplier_0090,,2023,Metal Components,,626.28
S0075,Supplier_0091,,2022,Metal components,Machined parts,616.0
S0076,Supplier_0092,,2022,Metal Components,Machined Parts,10800.0
S0076,Supplier_0092,,2023,Medical Device,,17267.3
S0077,Supplier_0093,,2022,Fibers,Other,83878.0
S0077,Supplier_0093,,2023,Fibers,,81155.42
S0078,Supplier_0094,,2022,Plastic component,Injection moulding,141735.0
S0079,Supplier_0095,,2022,Electronics,Components,7390.0
S0079,Supplier_0095,,2023,Electronics,,12296.95
S0080,Supplier_0096,,2022,Plastic component,Injection moulding,36283.2
S0080,Supplier_0096,,2023,Plastic Components,,27259.12
S0081,Supplier_0097,,2023,,,113677.36
S0082,Supplier_0098,,2022,Metal components,Other,14895.72
S0083,Supplier_0099,,2022,Electronics,Components,1571.0
S0083,Supplier_0099,,2023,Electronics,,10617.38
S0084,Supplier_0100,,2022,Plastic component,Machined parts,4063.0
S0085,Supplier_0101,,2022,Packaging,Other,1326.0
S0085,Supplier_0101,,2023,Packaging,,2135.96
S0086,Supplier_0102,,2022,Sub-contracting,sterilization,675.0
S0086,Supplier_0102,,2022,Sub-contracting,sterilization,675.0
S0086,Supplier_0102,,2023,Sub-Contracting,,3203.04
S0087,Supplier_0103,,2022,Plastic component,Injection moulding,25371.0
S0087,Supplier_0103,,2023,Plastic Components,,27855.24
S0088,Supplier_0104,,2023,,,5.92
S0089,Supplier_0105,,2022,Packaging,Other,11285.35
S0089,Supplier_0105,,2023,Packaging,,11545.94
S0090,Supplier_0106,,2023,,,13703.63
S0091,Supplier_0107,,2022,Packaging,Cartons,2245.0
S0092,Supplier_0108,,2022,Medical device,Consumables,1640.0
S0093,Supplier_0109,,2022,Packaging,Other,117.82
S0094,Supplier_0110,,2022,Electronics,Components,408.0
S0094,Supplier_0111,,2023,Electronics,,597.69
S0095,Supplier_0112,,2022,Plastic component,Injection moulding,3739.8
S0095,Supplier_0112,,2023,Plastic Components,,1316.58
S0096,Supplier_0113,,2023,Packaging,,29630.78
S0097,Supplier_0113,,2022,Packaging,Cartons,42750.0
S0098,Supplier_0114,,2023,,,15968.0
S0099,Supplier_0115,,2023,,,35996.14
S0100,Supplier_0116,,2022,Metal components,Other,39937.28
S0101,Supplier_0117,,2023,,,2462.7
S0102,Supplier_0118,,2022,Sub-contracting,Other (Sanding),5010.0
S0103,Supplier_0119,,2023,,,63950.06
S0104,Supplier_0120,,2022,Plastic component,Thermoforming,48515.0
S0105,Supplier_0121,,2022,Fibers,Other,637.2
S0105,Supplier_0121,,2023,Fibers,,3319.49
S0106,Supplier_0122,,2023,,,7563.34
S0107,Supplier_0123,,2022,Medical device,Consumables,41000.0
S0108,Supplier_0124,,2022,Fibers,glass,90710.0
S0109,Supplier_0125,,2022,Fibers,Other,150449.27
S0109,Supplier_0125,,2023,Fibers,,170685.12
S0110,Supplier_0126,,2023,Sub-Contracting,,24236.66
S0111,Supplier_0127,,2022,Packaging,Cartons,2781.0
S0112,Supplier_0126,,2022,Sub-contracting,Other (Sanding),13993.29
S0113,Supplier_0128,,2022,Metal components,Other,172980.96
S0113,Supplier_0128,,2023,Metal Components,,285876.79
S0114,Supplier_0129,,2022,Metal components,Other,399.0
S0114,Supplier_0129,,2023,Metal Components,,1432.24
S0115,Supplier_0130,,2023,,,4719.69
S0116,Supplier_0131,,2022,Electronics,Components,1250.43
S0117,Supplier_0131,,2022,Medical device,Consumables,32800.0
S0118,Supplier_0132,,2023,,,36765.23
S0119,Supplier_0133,,2022,Metal components,Other,13555.0
S0119,Supplier_0133,,2023,Metal Components,,4720.65
S0120,Supplier_0134,,2022,Medical device,Consumables,234.4
S0121,Supplier_0135,,2022,Plastic component,Injection moulding,1842.1
S0121,Supplier_0135,,2023,Plastic Components,,1266.68
S0122,Supplier_0136,,2022,,,12273.0
S0122,Supplier_0136,,2023,,,12273.0
S0123,Supplier_0137,,2022,Packaging,Other,25050.0
S0124,Supplier_0138,,2023,,,51673.66
S0125,Supplier_0139,,2022,Metal components,Other,10304.0
S0125,Supplier_0139,,2023,Metal Components,,13303.14
S0126,Supplier_0140,,2023,,,647.77
S0127,Supplier_0141,,2022,Fibers,light,50141.0
S0127,Supplier_0141,,2023,Fibers,,2780.91
S0128,Supplier_0142,,2023,,,149.36
S0129,Supplier_0143,,2023,,,929.74
S0130,Supplier_0144,,2022,Plastic component,Injection moulding,9785.0
S0131,Supplier_0145,,2022,Fibers,Other,600.0
S0132,Supplier_0146,,2022,Sub-contracting,sterilization,416.0
S0133,Supplier_0147,,2023,,,45903.22
S0134,Supplier_0148,,2022,Packaging,Other,1436.0
S0134,Supplier_0148,,2023,Packaging,,1349.09
S0135,Supplier_0149,,2022,Packaging,Other,38727.64
S0135,Supplier_0149,,2023,Packaging,,51457.6
S0136,Supplier_0150,,2023,,,945.42
S0137,Supplier_0151,,2023,,,33204.92
S0138,Supplier_0152,,2023,,,5534.15
S0139,Supplier_0153,,2022,Fibers,light,71334.0
S0139,Supplier_0153,,2023,Fibers,,93823.28
S0140,Supplier_0154,,2022,Medical device,Consumables,189.8
S0141,Supplier_0154,,2022,Plastic component,Other,4458.0
S0141,Supplier_0154,,2023,Plastic Components,,15605.2
S0142,Supplier_0155,,2022,Packaging,Other,3187.0
S0142,Supplier_0155,,2023,Packaging,,3064.54
S0143,Supplier_0156,,2022,Medical device,Consumables,2683.21
S0144,Supplier_0157,,2022,Plastic component,Injection moulding,61378.0
S0145,Supplier_0158,,2023,,,19743.57
S0146,Supplier_0159,,2022,Plastic component,Machined parts,8805.0
S0147,Supplier_0159,,2022,Metal components,Machined parts,13278.62
S0148,Supplier_0160,,2023,,,1106.83
S0149,Supplier_0161,,2022,Electronics,Components,6885.0
S0149,Supplier_0161,,2023,Electronics,,8467.26
S0150,Supplier_0162,,2022,Plastic component,Injection moulding,29700.0
S0150,Supplier_0162,,2023,Plastic Components,,39010.25
S0151,Supplier_0163,,2022,Packaging,Other,1100.16
S0152,Supplier_0164,,2023,,,691.77
S0153,Supplier_0165,,2023,Plastic Components,,640166.12
S0154,Supplier_0166,,2022,Plastic component,Injection moulding,53560.0
S0155,Supplier_0167,,2023,,,89428.01
S0156,Supplier_0168,,2022,Metal components,Machined parts,311197.0
S0157,Supplier_0169,,2022,Electronics,Components,2286.0
S0157,Supplier_0169,,2023,Electronics,,3246.67
S0158,Supplier_0170,,2022,Metal components,Machined parts,259.94
S0158,Supplier_0170,,2023,Metal Components,,567.74
S0159,Supplier_0171,,2022,Plastic component,Injection moulding,6328.0
S0159,Supplier_0171,,2023,Plastic Components,,1606.29
S0160,Supplier_0172,,2022,Plastic component,Injection moulding,17857.0
S0161,Supplier_0173,,2022,Plastic component,Injection moulding,12136.18
S0161,Supplier_0173,,2023,Plastic Components,,18159.69
S0162,Supplier_0174,,2022,Sub-contracting,Other (Sanding),16979.0
S0162,Supplier_0174,,2023,Sub-Contracting,,5222.03
S0163,Supplier_0175,,2022,Metal components,Other,10710.0
S0164,Supplier_0176,,2022,Plastic component,Injection moulding,2380.0
S0165,Supplier_0177,,2023,,,7860.29
S0166,Supplier_0178,,2022,Metal components,Machined parts,80025.0
S0167,Supplier_0179,,2023,Metal Components,,27228.04
S0168,Supplier_0179,,2022,Plastic component,Injection moulding,65674.24
S0169,Supplier_0179,,2022,Metal components,Machined parts,259113.0
S0170,Supplier_0180,,2023,,,67.31
S0171,Supplier_0181,,2022,Medical device,Consumables,232451.6
S0171,Supplier_0181,,2023,Medical Device,,201321.5
S0172,Supplier_0182,,2022,Plastic component,Thermoforming,20989.0
S0172,Supplier_0182,,2023,Plastic Components,,54216.26
S0173,Supplier_0183,,2022,Fibers,glass,378375.0
S0173,Supplier_0183,,2023,Fibers,,471915.16
S0174,Supplier_0184,,2022,Plastic component,Injection moulding,10757.64
S0174,Supplier_0184,,2023,Plastic Components,,20309.47
S0175,Supplier_0185,,2023,,,1456.77
S0176,Supplier_0186,,2022,Medical device,Consumables,1435.0
S0177,Supplier_0187,,2023,Fibers,,924897.42
S0178,Supplier_0188,,2022,Plastic component,Injection moulding,17218.0
S0178,Supplier_0188,,2023,Plastic Components,,5320.17
S0179,Supplier_0189,,2023,,,314.52
S0180,Supplier_0190,,2023,,,940.81
S0181,Supplier_0191,,2023,,,940.81
S0182,Supplier_0192,,2023,,,13.84
S0183,Supplier_0193,,2023,,,152.19
S0184,Supplier_0194,,2023,,,8577.94
S0185,Supplier_0195,,2023,,,13673.05
S0186,Supplier_0196,,2023,,,6563.51
S0187,Supplier_0197,,2023,,,4226.25
S0188,Supplier_0198,,2023,,,7018.23
S0189,Supplier_0199,,2023,Plastic Components,,366965.14
S0190,Supplier_0200,,2023,,,461.18
S0191,Supplier_0201,,2023,,,6113.4
S0192,Supplier_0202,,2023,,,12518.26
S0193,Supplier_0203,,2023,,,26123.05
S0194,Supplier_0204,,2023,,,20222.72
S0195,Supplier_0205,,2023,,,184.47
S0196,Supplier_0206,,2023,,,2490.37
S0197,Supplier_0207,,2023,,,2075.31
S0198,Supplier_0208,,2023,,,4723.4
S0199,Supplier_0209,,2023,,,3483.75
S0200,Supplier_0210,,2023,Plastic Components,,145130.42
S0201,Supplier_0211,,2023,,,8514.3
S0202,Supplier_0212,,2023,,,613.37
S0203,Supplier_0213,,2023,,,951.87
S0204,Supplier_0214,,2023,,,6562.58
S0205,Supplier_0215,,2023,,,146.66
S0206,Supplier_0216,,2023,,,1347.57
S0207,Supplier_0217,,2023,,,2013.51
S0208,Supplier_0218,,2023,,,25022.68
S0209,Supplier_0219,,2023,Packaging,,18815.2
S0210,Supplier_0220,,2023,,,357.88
S0211,Supplier_0221,,2023,Metal Components,,600784.99
S0212,Supplier_0222,,2023,,,764.64
S0213,Supplier_0223,,2023,,,10822.96
S0214,Supplier_0224,,2023,,,1936.03
S0215,Supplier_0225,,2023,,,1865.93
S0216,Supplier_0226,,2023,,,6747.98
S0217,Supplier_0227,,2023,,,1660.25
S0218,Supplier_0228,,2023,,,22661.44
S0219,Supplier_0229,,2023,,,353.26
S0220,Supplier_0230,,2023,,,3535.4
S0221,Supplier_0231,,2023,,,2058.71
S0222,Supplier_0232,,2023,Medical Device,,24086.48
S0223,Supplier_0233,,2023,,,31922.85
S0224,Supplier_0234,,2023,,,6114.32
S0225,Supplier_0235,,2023,,,7875.1
S0226,Supplier_0236,,2023,,,6686.18
S0227,Supplier_0237,,2023,,,1140.04
S0228,Supplier_0238,,2023,Professional Services,,186804.45
S0229,Supplier_0239,,2023,Logistics & Transport,,121394.44
S0230,Supplier_0240,,2023,,,438.12
S0231,Supplier_0241,,2023,,,13934.08
S0232,Supplier_0242,,2023,,,48618.47
S0233,Supplier_0243,,2023,,,21591.5
S0234,Supplier_0244,,2023,,,5372.74
S0235,Supplier_0245,,2023,,,255873.45
S0236,Supplier_0246,,2023,,,21762.14
S0237,Supplier_0247,,2023,,,6489.72
S0238,Supplier_0248,,2023,,,4150.62
S0239,Supplier_0249,,2023,,,7148.28
S0240,Supplier_0250,,2023,Sub-Contracting,,84709.45
S0241,Supplier_0251,,2023,,,15384.03
S0242,Supplier_0252,,2023,,,2494.98
S0243,Supplier_0253,,2023,,,29197.27
S0244,Supplier_0254,,2023,Metal Components,,12035.86
S0245,Supplier_0255,,2023,,,273.02
S0246,Supplier_0256,,2023,,,35690.68
S0247,Supplier_0257,,2023,,,10199.45
S0248,Supplier_0258,,2023,,,1365.09
S0249,Supplier_0259,,2023,,,8072.49
S0250,Supplier_0260,,2023,,,55216.1
S0251,Supplier_0261,,2023,,,24398.24
S0252,Supplier_0262,,2023,,,184.47
S0253,Supplier_0263,,2023,Not Categorized,,2500777.2
S0254,Supplier_0264,,2023,Metal Components,,165415.86
S0255,Supplier_0265,,2023,Plastic Components,,618323.65
S0256,Supplier_0266,,2023,,,11387.44
S0257,Supplier_0267,,2023,,,5959.36
S0258,Supplier_0268,,2023,Plastic Components,,59676.63
S0259,Supplier_0269,,2023,Plastic Components,,38185.66
S0260,Supplier_0270,,2023,Medical Device,,11156.85
S0261,Supplier_0271,,2023,Plastic Components,,11365.31
S0262,Supplier_0272,,2023,Plastic Components,,99153.59
S0263,Supplier_0273,,2023,Medical Device,,30437.85
S0264,Supplier_0274,,2023,Medical Device,,69828.11
S0265,Supplier_0275,,2023,,,6062.67
S0266,Supplier_0276,,2023,Plastic Components,,28231.56
S0267,Supplier_0277,,2023,Plastic Components,,171108.66
S0268,Supplier_0278,,2023,Packaging,,32621.07
S0269,Supplier_0279,,2023,Fibers,,226531.37
S0270,Supplier_0280,,2023,Plastic Components,,48444.14
S0271,Supplier_0281,,2023,,,57435.29
S0272,Supplier_0282,,2023,Metal Components,,56636.53
S0273,Supplier_0283,,2023,,,92.24
S0274,Supplier_0284,,2023,,,81628.77
S0275,Supplier_0285,,2023,,,307.15
S0276,Supplier_0286,,2023,,,3030.87
S0277,Supplier_0287,,2023,,,2748.63
S0278,Supplier_0288,,2023,,,275.79
S0279,Supplier_0289,,2023,,,10145.95
S0280,Supplier_0290,,2023,,,1432.42
S0281,Supplier_0291,,2023,,,966.63
S0282,Supplier_0292,,2023,,,8831.59
S0283,Supplier_0293,,2023,Plastic Components,,30963.59
S0284,Supplier_0294,,2023,,,401.23
S0285,Supplier_0295,,2023,,,5258.37
S0286,Supplier_0296,,2023,,,52496.98
S0287,Supplier_0297,,2023,,,4662.52
S0288,Supplier_0298,,2023,,,122512.33
S0289,Supplier_0299,,2023,,,46246.16
S0290,Supplier_0300,,2023,,,6131.84
S0291,Supplier_0301,,2023,,,26826.81
S0292,Supplier_0302,,2023,,,6522.92
S0293,Supplier_0303,,2023,,,1586.46
S0294,Supplier_0304,,2023,,,6639.14
S0295,Supplier_0305,,2023,,,11806.2
S0296,Supplier_0306,,2023,,,1542.18
S0297,Supplier_0307,,2023,,,1384.46
S0298,Supplier_0308,,2023,,,482.39
S0299,Supplier_0309,,2023,,,2774.46
S0300,Supplier_0310,,2023,,,9091.69
S0301,Supplier_0311,,2023,,,187552.48
S0302,Supplier_0312,,2023,,,24439.75
S0303,Supplier_0313,,2023,,,642.88
S0304,Supplier_0314,,2023,,,23900.17
S0305,Supplier_0315,,2023,Plastic Components,,7858.5
S0306,Supplier_0316,,2023,,,184.47
S0307,Supplier_0317,,2023,,,270.25
S0308,Supplier_0318,,2023,,,6225.92
S0309,Supplier_0319,,2023,,,527.59
S0310,Supplier_0320,,2023,,,16762.95
S0311,Supplier_0321,,2023,,,7432.37
S0312,Supplier_0322,,2023,,,7300.47
S0313,Supplier_0323,,2023,,,255.49
S0314,Supplier_0324,,2023,,,1246.11
S0315,Supplier_0325,,2023,,,613.37
S0316,Supplier_0326,,2023,Plastic Components,,30281.05
S0317,Supplier_0327,,2023,,,447.34
S0318,Supplier_0328,,2023,,,18782.0
S0319,Supplier_0329,,2023,Pharma,,23023.0
S0320,Supplier_0330,,2023,,,1843.8
S0321,Supplier_0331,,2023,,,2235.8
S0322,Supplier_0332,,2023,,,26840.65
S0323,Supplier_0333,,2023,,,583.85
S0324,Supplier_0334,,2023,,,546.96
S0325,Supplier_0335,,2023,,,41040.36
S0326,Supplier_0336,,2023,,,529.43
S0327,Supplier_0337,,2023,,,691.77
S0328,Supplier_0338,,2023,Plastic Components,,50793.39
S0329,Supplier_0339,,2023,,,33016.52
S0330,Supplier_0340,,2023,,,16621.61
S0331,Supplier_0341,,2023,,,1641.08
S0332,Supplier_0342,,2023,,,4017.07
S0333,Supplier_0343,,2023,,,125.0
S0334,Supplier_0344,,2023,,,2375.24
S0335,Supplier_0345,,2023,,,172.24
S0336,Supplier_0346,,2023,,,1190.0
S0337,Supplier_0347,,2023,,,1785.0
S0338,Supplier_0348,,2023,,,6013.74
S0339,Supplier_0349,,2023,,,7399.27
S0339,Supplier_0350,,2023,,,71.4
S0340,Supplier_0351,,2023,,,15374.8
S0341,Supplier_0352,,2023,,,300.0
S0342,Supplier_0353,,2023,,,595.0
S0343,Supplier_0354,,2023,,,1533.0
S0343,Supplier_0355,,2023,,,1190.0
S0344,Supplier_0356,,2023,,,1076.12
S0344,Supplier_0357,,2023,,,180.0
S0344,Supplier_0358,,2023,,,2030.0
S0344,Supplier_0359,,2023,,,800.0
S0345,Supplier_0360,,2023,,,9000.0
S0346,Supplier_0361,,2023,,,98.0
S0347,Supplier_0362,,2023,,,1375.64
S0348,Supplier_0363,,2023,,,346.0
S0349,Supplier_0364,,2023,,,630.0
S0350,Supplier_0365,,2023,,,1190.0
S0351,Supplier_0366,,2023,,,48.0
S0351,Supplier_0367,,2023,,,18629.3
S0351,Supplier_0368,,2023,,,267.5
S0351,Supplier_0369,,2023,,,237.88
S0352,Supplier_0370,,2023,,,753.7
S0352,Supplier_0371,,2023,,,2004.7
S0352,Supplier_0372,,2023,,,12633.9
S0353,Supplier_0373,,2023,,,368.19
S0354,Supplier_0374,,2023,,,871.0
S0355,Supplier_0375,,2023,,,327.25
S0356,Supplier_0376,,2023,,,5539.76
S0356,Supplier_0377,,2023,,,3300.0
S0356,Supplier_0378,,2023,,,48.0
S0357,Supplier_0379,,2023,,,350.0
S0357,Supplier_0380,,2023,,,502.8
S0357,Supplier_0381,,2023,,,3000.0
S0358,Supplier_0382,,2023,,,595.0
S0359,Supplier_0383,,2023,,,714.0
S0360,Supplier_0384,,2023,,,430.0
S0361,Supplier_0385,,2022,Travel,"Hotel, Meeting & Congres",46150.0
S0362,Supplier_0386,,2022,Professional Services,Legal ,132763.9
S0362,Supplier_0387,,2023,Professional Services,,82312.99
S0363,Supplier_0388,,2022,,,1755.22
S0364,Supplier_0389,,2022,,,5000.0
S0365,Supplier_0390,,2022,,,2791.99
S0365,Supplier_0391,,2023,,,13773.58
S0366,Supplier_0392,,2022,Medical Device,Electronics,53141.71
S0367,Supplier_0393,,2022,,,5000.0
S0367,Supplier_0394,,2023,,,10000.0
S0368,Supplier_0395,,2022,,,5000.0
S0369,Supplier_0396,,2022,IT ,Software ,8453.72
S0369,Supplier_0397,,2023,I.T,,32425.39
S0370,Supplier_0398,,2022,,,367.99
S0370,Supplier_0399,,2023,Electronics,,35291.13
S0371,Supplier_0400,,2022,Metal Components,Machined Parts,428750.06
S0371,Supplier_0401,,2023,Metal Components,,689826.98
S0372,Supplier_0402,,2022,Medical Device,Re-Usables ,60560.01
S0372,Supplier_0403,,2023,Medical Device,,87836.39
S0373,Supplier_0404,,2023,,,234670.21
S0374,Supplier_0405,,2022,Metal Components,Machined Parts,25571.94
S0374,Supplier_0406,,2023,Metal Components,,2529.72
S0375,Supplier_0407,,2023,,,565.09
S0376,Supplier_0408,,2022,Metal Components,Machined Parts,375574.86
S0376,Supplier_0409,,2023,Metal Components,,332373.76
S0377,Supplier_0410,,2022,,,4339.46
S0378,Supplier_0411,,2022,Metal Components,Machined Parts,15900.5
S0378,Supplier_0411,,2023,Metal Components,,55183.0
S0379,Supplier_0412,,2022,Professional Services,Legal ,29780.46
S0380,Supplier_0413,,2022,,,4180.04
S0381,Supplier_0414,,2022,,,3087.45
S0382,Supplier_0415,,2023,,,41972.43
S0383,Supplier_0416,,2022,Property,Other,4502.94
S0384,Supplier_0417,,2022,Plastic Components,Injection Moulding,208791.95
S0384,Supplier_0418,,2023,Plastic Components,,70735.08
S0385,Supplier_0419,,2022,,,2747.29
S0385,Supplier_0420,,2023,,,764.07
S0386,Supplier_0421,,2022,,,1423.15
S0386,Supplier_0422,,2023,,,1415.09
S0387,Supplier_0423,,2023,,,19832.26
S0388,Supplier_0424,,2022,Medical Device,Consumables,39707.56
S0388,Supplier_0424,,2023,Medical Device,,13997.97
S0389,Supplier_0425,,2023,,,2021.6
S0390,Supplier_0426,,2022,,,2135.38
S0390,Supplier_0427,,2023,,,22511.62
S0391,Supplier_0428,,2022,,,5285.91
S0391,Supplier_0429,,2023,,,3396.23
S0392,Supplier_0430,,2023,,,1280.66
S0393,Supplier_0431,,2022,Plastic Components,Other,7371.85
S0393,Supplier_0432,,2023,Plastic Components,,1067.83
S0394,Supplier_0433,,2023,,,36012.3
S0395,Supplier_0434,,2023,,,20554.0
S0396,Supplier_0435,,2022,,,20842.05
S0397,Supplier_0436,,2023,Electronics ,,5540.57
S0398,Supplier_0437,,2022,Electronics,Components,904288.63
S0398,Supplier_0438,,2023,Electronics,,583090.15
S0399,Supplier_0439,,2022,Fibres ,Laser,2685215.46
S0400,Supplier_0440,,2023,,,3750.0
S0401,Supplier_0441,,2022,IT ,Software ,4792.35
S0401,Supplier_0442,,2023,I.T,,6226.42
S0402,Supplier_0443,,2022,Professional Services,Finance (Accountancy),1447.26
S0403,Supplier_0444,,2022,,,4916.0
S0403,Supplier_0445,,2023,,,50460.0
S0404,Supplier_0446,,2023,,,48664.32
S0405,Supplier_0447,,2023,,,23924.73
S0406,Supplier_0448,,2022,MARCOM,Other,26269.78
S0406,Supplier_0449,,2023,Marcom,,28301.89
S0407,Supplier_0450,,2022,MARCOM,Research,12812.15
S0407,Supplier_0451,,2023,Marcom,,29056.6
S0408,Supplier_0452,,2022,Medical Device,Consumables,3830.91
S0409,Supplier_0453,,2022,Fibres ,Light,6412804.68
